Time      Date    	    Sum
[05:28:29.367 02/01/2002]	 -0.684
[05:28:29.375 02/01/2002]	 -0.805
[05:28:29.383 02/01/2002]	 -0.805
[05:28:29.391 02/01/2002]	 -0.805
[05:28:29.398 02/01/2002]	 -0.805
[05:28:29.406 02/01/2002]	 -0.805
[05:28:29.414 02/01/2002]	 -0.805
[05:28:29.422 02/01/2002]	 -0.805
[05:28:29.430 02/01/2002]	 -0.805
[05:28:29.438 02/01/2002]	 -0.805
[05:28:29.445 02/01/2002]	 -0.805
[05:28:29.453 02/01/2002]	 -0.805
[05:28:29.461 02/01/2002]	 -0.805
[05:28:29.469 02/01/2002]	 -0.805
[05:28:29.477 02/01/2002]	 -0.805
[05:28:29.484 02/01/2002]	 -0.805
[05:28:29.492 02/01/2002]	 -0.805
[05:28:29.500 02/01/2002]	 -0.914
[05:28:29.508 02/01/2002]	 -0.914
[05:28:29.516 02/01/2002]	 -0.914
[05:28:29.523 02/01/2002]	 -0.914
[05:28:29.531 02/01/2002]	 -0.914
[05:28:29.539 02/01/2002]	 -0.914
[05:28:29.547 02/01/2002]	 -0.914
[05:28:29.555 02/01/2002]	 -0.914
[05:28:29.563 02/01/2002]	 -0.914
[05:28:29.570 02/01/2002]	 -0.914
[05:28:29.578 02/01/2002]	 -0.914
[05:28:29.586 02/01/2002]	 -0.914
[05:28:29.594 02/01/2002]	 -0.914
[05:28:29.602 02/01/2002]	 -0.914
[05:28:29.609 02/01/2002]	 -0.914
[05:28:29.617 02/01/2002]	 -0.914
[05:28:29.625 02/01/2002]	 -0.910
[05:28:29.633 02/01/2002]	 -0.910
[05:28:29.641 02/01/2002]	 -0.910
[05:28:29.648 02/01/2002]	 -0.910
[05:28:29.656 02/01/2002]	 -0.910
[05:28:29.664 02/01/2002]	 -0.910
[05:28:29.672 02/01/2002]	 -0.910
[05:28:29.680 02/01/2002]	 -0.910
[05:28:29.688 02/01/2002]	 -0.910
[05:28:29.695 02/01/2002]	 -0.910
[05:28:29.703 02/01/2002]	 -0.910
[05:28:29.711 02/01/2002]	 -0.910
[05:28:29.719 02/01/2002]	 -0.910
[05:28:29.727 02/01/2002]	 -0.910
[05:28:29.734 02/01/2002]	 -0.910
[05:28:29.742 02/01/2002]	 -0.910
[05:28:29.750 02/01/2002]	 -0.914
[05:28:29.758 02/01/2002]	 -0.914
[05:28:29.766 02/01/2002]	 -0.914
[05:28:29.773 02/01/2002]	 -0.914
[05:28:29.781 02/01/2002]	 -0.914
[05:28:29.789 02/01/2002]	 -0.914
[05:28:29.797 02/01/2002]	 -0.914
[05:28:29.805 02/01/2002]	 -0.914
[05:28:29.813 02/01/2002]	 -0.914
[05:28:29.820 02/01/2002]	 -0.914
[05:28:29.828 02/01/2002]	 -0.914
[05:28:29.836 02/01/2002]	 -0.914
[05:28:29.844 02/01/2002]	 -0.914
[05:28:29.852 02/01/2002]	 -0.914
[05:28:29.859 02/01/2002]	 -0.914
[05:28:29.867 02/01/2002]	 -0.914
[05:28:29.875 02/01/2002]	 -0.906
[05:28:29.883 02/01/2002]	 -0.906
[05:28:29.891 02/01/2002]	 -0.906
[05:28:29.898 02/01/2002]	 -0.906
[05:28:29.906 02/01/2002]	 -0.906
[05:28:29.914 02/01/2002]	 -0.906
[05:28:29.922 02/01/2002]	 -0.906
[05:28:29.930 02/01/2002]	 -0.906
[05:28:29.938 02/01/2002]	 -0.906
[05:28:29.945 02/01/2002]	 -0.906
[05:28:29.953 02/01/2002]	 -0.906
[05:28:29.961 02/01/2002]	 -0.906
[05:28:29.969 02/01/2002]	 -0.906
[05:28:29.977 02/01/2002]	 -0.906
[05:28:29.984 02/01/2002]	 -0.906
[05:28:29.992 02/01/2002]	 -0.906
[05:28:30.000 02/01/2002]	 -0.832
[05:28:30.008 02/01/2002]	 -0.832
[05:28:30.016 02/01/2002]	 -0.832
[05:28:30.023 02/01/2002]	 -0.832
[05:28:30.031 02/01/2002]	 -0.832
[05:28:30.039 02/01/2002]	 -0.832
[05:28:30.047 02/01/2002]	 -0.832
[05:28:30.055 02/01/2002]	 -0.832
[05:28:30.063 02/01/2002]	 -0.832
[05:28:30.070 02/01/2002]	 -0.832
[05:28:30.078 02/01/2002]	 -0.832
[05:28:30.086 02/01/2002]	 -0.832
[05:28:30.094 02/01/2002]	 -0.832
[05:28:30.102 02/01/2002]	 -0.832
[05:28:30.109 02/01/2002]	 -0.832
[05:28:30.117 02/01/2002]	 -0.832
[05:28:30.125 02/01/2002]	 -0.738
[05:28:30.133 02/01/2002]	 -0.738
[05:28:30.141 02/01/2002]	 -0.738
[05:28:30.148 02/01/2002]	 -0.738
[05:28:30.156 02/01/2002]	 -0.738
[05:28:30.164 02/01/2002]	 -0.738
[05:28:30.172 02/01/2002]	 -0.738
[05:28:30.180 02/01/2002]	 -0.738
[05:28:30.188 02/01/2002]	 -0.738
[05:28:30.195 02/01/2002]	 -0.738
[05:28:30.203 02/01/2002]	 -0.738
[05:28:30.211 02/01/2002]	 -0.738
[05:28:30.219 02/01/2002]	 -0.738
[05:28:30.227 02/01/2002]	 -0.738
[05:28:30.234 02/01/2002]	 -0.738
[05:28:30.242 02/01/2002]	 -0.738
[05:28:30.250 02/01/2002]	 -0.621
[05:28:30.258 02/01/2002]	 -0.621
[05:28:30.266 02/01/2002]	 -0.621
[05:28:30.273 02/01/2002]	 -0.621
[05:28:30.281 02/01/2002]	 -0.621
[05:28:30.289 02/01/2002]	 -0.621
[05:28:30.297 02/01/2002]	 -0.621
[05:28:30.305 02/01/2002]	 -0.621
[05:28:30.313 02/01/2002]	 -0.621
[05:28:30.320 02/01/2002]	 -0.621
[05:28:30.328 02/01/2002]	 -0.621
[05:28:30.336 02/01/2002]	 -0.621
[05:28:30.344 02/01/2002]	 -0.621
[05:28:30.352 02/01/2002]	 -0.621
[05:28:30.359 02/01/2002]	 -0.621
[05:28:30.367 02/01/2002]	 -0.621
[05:28:30.375 02/01/2002]	 -0.543
[05:28:30.383 02/01/2002]	 -0.543
[05:28:30.391 02/01/2002]	 -0.543
[05:28:30.398 02/01/2002]	 -0.543
[05:28:30.406 02/01/2002]	 -0.543
[05:28:30.414 02/01/2002]	 -0.543
[05:28:30.422 02/01/2002]	 -0.543
[05:28:30.430 02/01/2002]	 -0.543
[05:28:30.438 02/01/2002]	 -0.543
[05:28:30.445 02/01/2002]	 -0.543
[05:28:30.453 02/01/2002]	 -0.543
[05:28:30.461 02/01/2002]	 -0.543
[05:28:30.469 02/01/2002]	 -0.543
[05:28:30.477 02/01/2002]	 -0.543
[05:28:30.484 02/01/2002]	 -0.543
[05:28:30.492 02/01/2002]	 -0.543
[05:28:30.500 02/01/2002]	 -0.484
[05:28:30.508 02/01/2002]	 -0.484
[05:28:30.516 02/01/2002]	 -0.484
[05:28:30.523 02/01/2002]	 -0.484
[05:28:30.531 02/01/2002]	 -0.484
[05:28:30.539 02/01/2002]	 -0.484
[05:28:30.547 02/01/2002]	 -0.484
[05:28:30.555 02/01/2002]	 -0.484
[05:28:30.563 02/01/2002]	 -0.484
[05:28:30.570 02/01/2002]	 -0.484
[05:28:30.578 02/01/2002]	 -0.484
[05:28:30.586 02/01/2002]	 -0.484
[05:28:30.594 02/01/2002]	 -0.484
[05:28:30.602 02/01/2002]	 -0.484
[05:28:30.609 02/01/2002]	 -0.484
[05:28:30.617 02/01/2002]	 -0.484
[05:28:30.625 02/01/2002]	 -0.379
[05:28:30.633 02/01/2002]	 -0.379
[05:28:30.641 02/01/2002]	 -0.379
[05:28:30.648 02/01/2002]	 -0.379
[05:28:30.656 02/01/2002]	 -0.379
[05:28:30.664 02/01/2002]	 -0.379
[05:28:30.672 02/01/2002]	 -0.379
[05:28:30.680 02/01/2002]	 -0.379
[05:28:30.688 02/01/2002]	 -0.379
[05:28:30.695 02/01/2002]	 -0.379
[05:28:30.703 02/01/2002]	 -0.379
[05:28:30.711 02/01/2002]	 -0.379
[05:28:30.719 02/01/2002]	 -0.379
[05:28:30.727 02/01/2002]	 -0.379
[05:28:30.734 02/01/2002]	 -0.379
[05:28:30.742 02/01/2002]	 -0.379
[05:28:30.750 02/01/2002]	 -0.410
[05:28:30.758 02/01/2002]	 -0.410
[05:28:30.766 02/01/2002]	 -0.410
[05:28:30.773 02/01/2002]	 -0.410
[05:28:30.781 02/01/2002]	 -0.410
[05:28:30.789 02/01/2002]	 -0.410
[05:28:30.797 02/01/2002]	 -0.410
[05:28:30.805 02/01/2002]	 -0.410
[05:28:30.813 02/01/2002]	 -0.410
[05:28:30.820 02/01/2002]	 -0.410
[05:28:30.828 02/01/2002]	 -0.410
[05:28:30.836 02/01/2002]	 -0.410
[05:28:30.844 02/01/2002]	 -0.410
[05:28:30.852 02/01/2002]	 -0.410
[05:28:30.859 02/01/2002]	 -0.410
[05:28:30.867 02/01/2002]	 -0.410
[05:28:30.875 02/01/2002]	 -0.344
[05:28:30.883 02/01/2002]	 -0.344
[05:28:30.891 02/01/2002]	 -0.344
[05:28:30.898 02/01/2002]	 -0.344
[05:28:30.906 02/01/2002]	 -0.344
[05:28:30.914 02/01/2002]	 -0.344
[05:28:30.922 02/01/2002]	 -0.344
[05:28:30.930 02/01/2002]	 -0.344
[05:28:30.938 02/01/2002]	 -0.344
[05:28:30.945 02/01/2002]	 -0.344
[05:28:30.953 02/01/2002]	 -0.344
[05:28:30.961 02/01/2002]	 -0.344
[05:28:30.969 02/01/2002]	 -0.344
[05:28:30.977 02/01/2002]	 -0.344
[05:28:30.984 02/01/2002]	 -0.344
[05:28:30.992 02/01/2002]	 -0.344
[05:28:31.000 02/01/2002]	 -0.274
[05:28:31.008 02/01/2002]	 -0.274
[05:28:31.016 02/01/2002]	 -0.274
[05:28:31.023 02/01/2002]	 -0.274
[05:28:31.031 02/01/2002]	 -0.274
[05:28:31.039 02/01/2002]	 -0.274
[05:28:31.047 02/01/2002]	 -0.274
[05:28:31.055 02/01/2002]	 -0.274
[05:28:31.063 02/01/2002]	 -0.274
[05:28:31.070 02/01/2002]	 -0.274
[05:28:31.078 02/01/2002]	 -0.274
[05:28:31.086 02/01/2002]	 -0.274
[05:28:31.094 02/01/2002]	 -0.274
[05:28:31.102 02/01/2002]	 -0.274
[05:28:31.109 02/01/2002]	 -0.274
[05:28:31.117 02/01/2002]	 -0.274
[05:28:31.125 02/01/2002]	 -0.227
[05:28:31.133 02/01/2002]	 -0.227
[05:28:31.141 02/01/2002]	 -0.227
[05:28:31.148 02/01/2002]	 -0.227
[05:28:31.156 02/01/2002]	 -0.227
[05:28:31.164 02/01/2002]	 -0.227
[05:28:31.172 02/01/2002]	 -0.227
[05:28:31.180 02/01/2002]	 -0.227
[05:28:31.188 02/01/2002]	 -0.227
[05:28:31.195 02/01/2002]	 -0.227
[05:28:31.203 02/01/2002]	 -0.227
[05:28:31.211 02/01/2002]	 -0.227
[05:28:31.219 02/01/2002]	 -0.227
[05:28:31.227 02/01/2002]	 -0.227
[05:28:31.234 02/01/2002]	 -0.227
[05:28:31.242 02/01/2002]	 -0.227
[05:28:31.250 02/01/2002]	 -0.137
[05:28:31.258 02/01/2002]	 -0.137
[05:28:31.266 02/01/2002]	 -0.137
[05:28:31.273 02/01/2002]	 -0.137
[05:28:31.281 02/01/2002]	 -0.137
[05:28:31.289 02/01/2002]	 -0.137
[05:28:31.297 02/01/2002]	 -0.137
[05:28:31.305 02/01/2002]	 -0.137
[05:28:31.313 02/01/2002]	 -0.137
[05:28:31.320 02/01/2002]	 -0.137
[05:28:31.328 02/01/2002]	 -0.137
[05:28:31.336 02/01/2002]	 -0.137
[05:28:31.344 02/01/2002]	 -0.137
[05:28:31.352 02/01/2002]	 -0.137
[05:28:31.359 02/01/2002]	 -0.137
[05:28:31.367 02/01/2002]	 -0.137
[05:28:31.375 02/01/2002]	 -0.109
[05:28:31.383 02/01/2002]	 -0.109
[05:28:31.391 02/01/2002]	 -0.109
[05:28:31.398 02/01/2002]	 -0.109
[05:28:31.406 02/01/2002]	 -0.109
[05:28:31.414 02/01/2002]	 -0.109
[05:28:31.422 02/01/2002]	 -0.109
[05:28:31.430 02/01/2002]	 -0.109
[05:28:31.438 02/01/2002]	 -0.109
[05:28:31.445 02/01/2002]	 -0.109
[05:28:31.453 02/01/2002]	 -0.109
[05:28:31.461 02/01/2002]	 -0.109
[05:28:31.469 02/01/2002]	 -0.109
[05:28:31.477 02/01/2002]	 -0.109
[05:28:31.484 02/01/2002]	 -0.109
[05:28:31.492 02/01/2002]	 -0.109
[05:28:31.500 02/01/2002]	 -0.047
[05:28:31.508 02/01/2002]	 -0.047
[05:28:31.516 02/01/2002]	 -0.047
[05:28:31.523 02/01/2002]	 -0.047
[05:28:31.531 02/01/2002]	 -0.047
[05:28:31.539 02/01/2002]	 -0.047
[05:28:31.547 02/01/2002]	 -0.047
[05:28:31.555 02/01/2002]	 -0.047
[05:28:31.563 02/01/2002]	 -0.047
[05:28:31.570 02/01/2002]	 -0.047
[05:28:31.578 02/01/2002]	 -0.047
[05:28:31.586 02/01/2002]	 -0.047
[05:28:31.594 02/01/2002]	 -0.047
[05:28:31.602 02/01/2002]	 -0.047
[05:28:31.609 02/01/2002]	 -0.047
[05:28:31.617 02/01/2002]	 -0.047
[05:28:31.625 02/01/2002]	 -0.047
[05:28:31.633 02/01/2002]	 -0.047
[05:28:31.641 02/01/2002]	 -0.047
[05:28:31.648 02/01/2002]	 -0.047
[05:28:31.656 02/01/2002]	 -0.047
[05:28:31.664 02/01/2002]	 -0.047
[05:28:31.672 02/01/2002]	 -0.047
[05:28:31.680 02/01/2002]	 -0.047
[05:28:31.688 02/01/2002]	 -0.047
[05:28:31.695 02/01/2002]	 -0.047
[05:28:31.703 02/01/2002]	 -0.047
[05:28:31.711 02/01/2002]	 -0.047
[05:28:31.719 02/01/2002]	 -0.047
[05:28:31.727 02/01/2002]	 -0.047
[05:28:31.734 02/01/2002]	 -0.047
[05:28:31.742 02/01/2002]	 -0.047
[05:28:31.750 02/01/2002]	 -0.051
[05:28:31.758 02/01/2002]	 -0.051
[05:28:31.766 02/01/2002]	 -0.051
[05:28:31.773 02/01/2002]	 -0.051
[05:28:31.781 02/01/2002]	 -0.051
[05:28:31.789 02/01/2002]	 -0.051
[05:28:31.797 02/01/2002]	 -0.051
[05:28:31.805 02/01/2002]	 -0.051
[05:28:31.813 02/01/2002]	 -0.051
[05:28:31.820 02/01/2002]	 -0.051
[05:28:31.828 02/01/2002]	 -0.051
[05:28:31.836 02/01/2002]	 -0.051
[05:28:31.844 02/01/2002]	 -0.051
[05:28:31.852 02/01/2002]	 -0.051
[05:28:31.859 02/01/2002]	 -0.051
[05:28:31.867 02/01/2002]	 -0.051
[05:28:31.875 02/01/2002]	  0.023
[05:28:31.883 02/01/2002]	  0.023
[05:28:31.891 02/01/2002]	  0.023
[05:28:31.898 02/01/2002]	  0.023
[05:28:31.906 02/01/2002]	  0.023
[05:28:31.914 02/01/2002]	  0.023
[05:28:31.922 02/01/2002]	  0.023
[05:28:31.930 02/01/2002]	  0.023
[05:28:31.938 02/01/2002]	  0.023
[05:28:31.945 02/01/2002]	  0.023
[05:28:31.953 02/01/2002]	  0.023
[05:28:31.961 02/01/2002]	  0.023
[05:28:31.969 02/01/2002]	  0.023
[05:28:31.977 02/01/2002]	  0.023
[05:28:31.984 02/01/2002]	  0.023
[05:28:31.992 02/01/2002]	  0.023
[05:28:32.000 02/01/2002]	  0.227
[05:28:32.008 02/01/2002]	  0.227
[05:28:32.016 02/01/2002]	  0.227
[05:28:32.023 02/01/2002]	  0.227
[05:28:32.031 02/01/2002]	  0.227
[05:28:32.039 02/01/2002]	  0.227
[05:28:32.047 02/01/2002]	  0.227
[05:28:32.055 02/01/2002]	  0.227
[05:28:32.063 02/01/2002]	  0.227
[05:28:32.070 02/01/2002]	  0.227
[05:28:32.078 02/01/2002]	  0.227
[05:28:32.086 02/01/2002]	  0.227
[05:28:32.094 02/01/2002]	  0.227
[05:28:32.102 02/01/2002]	  0.227
[05:28:32.109 02/01/2002]	  0.227
[05:28:32.117 02/01/2002]	  0.227
[05:28:32.125 02/01/2002]	  0.418
[05:28:32.133 02/01/2002]	  0.418
[05:28:32.141 02/01/2002]	  0.418
[05:28:32.148 02/01/2002]	  0.418
[05:28:32.156 02/01/2002]	  0.418
[05:28:32.164 02/01/2002]	  0.418
[05:28:32.172 02/01/2002]	  0.418
[05:28:32.180 02/01/2002]	  0.418
[05:28:32.188 02/01/2002]	  0.418
[05:28:32.195 02/01/2002]	  0.418
[05:28:32.203 02/01/2002]	  0.418
[05:28:32.211 02/01/2002]	  0.418
[05:28:32.219 02/01/2002]	  0.418
[05:28:32.227 02/01/2002]	  0.418
[05:28:32.234 02/01/2002]	  0.418
[05:28:32.242 02/01/2002]	  0.418
[05:28:32.250 02/01/2002]	  0.535
[05:28:32.258 02/01/2002]	  0.535
[05:28:32.266 02/01/2002]	  0.535
[05:28:32.273 02/01/2002]	  0.535
[05:28:32.281 02/01/2002]	  0.535
[05:28:32.289 02/01/2002]	  0.535
[05:28:32.297 02/01/2002]	  0.535
[05:28:32.305 02/01/2002]	  0.535
[05:28:32.313 02/01/2002]	  0.535
[05:28:32.320 02/01/2002]	  0.535
[05:28:32.328 02/01/2002]	  0.535
[05:28:32.336 02/01/2002]	  0.535
[05:28:32.344 02/01/2002]	  0.535
[05:28:32.352 02/01/2002]	  0.535
[05:28:32.359 02/01/2002]	  0.535
[05:28:32.367 02/01/2002]	  0.535
[05:28:32.375 02/01/2002]	  0.539
[05:28:32.383 02/01/2002]	  0.539
[05:28:32.391 02/01/2002]	  0.539
[05:28:32.398 02/01/2002]	  0.539
[05:28:32.406 02/01/2002]	  0.539
[05:28:32.414 02/01/2002]	  0.539
[05:28:32.422 02/01/2002]	  0.539
[05:28:32.430 02/01/2002]	  0.539
[05:28:32.438 02/01/2002]	  0.539
[05:28:32.445 02/01/2002]	  0.539
[05:28:32.453 02/01/2002]	  0.539
[05:28:32.461 02/01/2002]	  0.539
[05:28:32.469 02/01/2002]	  0.539
[05:28:32.477 02/01/2002]	  0.539
[05:28:32.484 02/01/2002]	  0.539
[05:28:32.492 02/01/2002]	  0.539
[05:28:32.500 02/01/2002]	  0.531
[05:28:32.508 02/01/2002]	  0.531
[05:28:32.516 02/01/2002]	  0.531
[05:28:32.523 02/01/2002]	  0.531
[05:28:32.531 02/01/2002]	  0.531
[05:28:32.539 02/01/2002]	  0.531
[05:28:32.547 02/01/2002]	  0.531
[05:28:32.555 02/01/2002]	  0.531
[05:28:32.563 02/01/2002]	  0.531
[05:28:32.570 02/01/2002]	  0.531
[05:28:32.578 02/01/2002]	  0.531
[05:28:32.586 02/01/2002]	  0.531
[05:28:32.594 02/01/2002]	  0.531
[05:28:32.602 02/01/2002]	  0.531
[05:28:32.609 02/01/2002]	  0.531
[05:28:32.617 02/01/2002]	  0.531
[05:28:32.625 02/01/2002]	  0.586
[05:28:32.633 02/01/2002]	  0.586
[05:28:32.641 02/01/2002]	  0.586
[05:28:32.648 02/01/2002]	  0.586
[05:28:32.656 02/01/2002]	  0.586
[05:28:32.664 02/01/2002]	  0.586
[05:28:32.672 02/01/2002]	  0.586
[05:28:32.680 02/01/2002]	  0.586
[05:28:32.688 02/01/2002]	  0.586
[05:28:32.695 02/01/2002]	  0.586
[05:28:32.703 02/01/2002]	  0.586
[05:28:32.711 02/01/2002]	  0.586
[05:28:32.719 02/01/2002]	  0.586
[05:28:32.727 02/01/2002]	  0.586
[05:28:32.734 02/01/2002]	  0.586
[05:28:32.742 02/01/2002]	  0.586
[05:28:32.750 02/01/2002]	  0.727
[05:28:32.758 02/01/2002]	  0.727
[05:28:32.766 02/01/2002]	  0.727
[05:28:32.773 02/01/2002]	  0.727
[05:28:32.781 02/01/2002]	  0.727
[05:28:32.789 02/01/2002]	  0.727
[05:28:32.797 02/01/2002]	  0.727
[05:28:32.805 02/01/2002]	  0.727
[05:28:32.813 02/01/2002]	  0.727
[05:28:32.820 02/01/2002]	  0.727
[05:28:32.828 02/01/2002]	  0.727
[05:28:32.836 02/01/2002]	  0.727
[05:28:32.844 02/01/2002]	  0.727
[05:28:32.852 02/01/2002]	  0.727
[05:28:32.859 02/01/2002]	  0.727
[05:28:32.867 02/01/2002]	  0.727
[05:28:32.875 02/01/2002]	  0.906
[05:28:32.883 02/01/2002]	  0.906
[05:28:32.891 02/01/2002]	  0.906
[05:28:32.898 02/01/2002]	  0.906
[05:28:32.906 02/01/2002]	  0.906
[05:28:32.914 02/01/2002]	  0.906
[05:28:32.922 02/01/2002]	  0.906
[05:28:32.930 02/01/2002]	  0.906
[05:28:32.938 02/01/2002]	  0.906
[05:28:32.945 02/01/2002]	  0.906
[05:28:32.953 02/01/2002]	  0.906
[05:28:32.961 02/01/2002]	  0.906
[05:28:32.969 02/01/2002]	  0.906
[05:28:32.977 02/01/2002]	  0.906
[05:28:32.984 02/01/2002]	  0.906
[05:28:32.992 02/01/2002]	  0.906
[05:28:33.000 02/01/2002]	  1.035
[05:28:33.008 02/01/2002]	  1.035
[05:28:33.016 02/01/2002]	  1.035
[05:28:33.023 02/01/2002]	  1.035
[05:28:33.031 02/01/2002]	  1.035
[05:28:33.039 02/01/2002]	  1.035
[05:28:33.047 02/01/2002]	  1.035
[05:28:33.055 02/01/2002]	  1.035
[05:28:33.063 02/01/2002]	  1.035
[05:28:33.070 02/01/2002]	  1.035
[05:28:33.078 02/01/2002]	  1.035
[05:28:33.086 02/01/2002]	  1.035
[05:28:33.094 02/01/2002]	  1.035
[05:28:33.102 02/01/2002]	  1.035
[05:28:33.109 02/01/2002]	  1.035
[05:28:33.117 02/01/2002]	  1.035
[05:28:33.125 02/01/2002]	  1.125
[05:28:33.133 02/01/2002]	  1.125
[05:28:33.141 02/01/2002]	  1.125
[05:28:33.148 02/01/2002]	  1.125
[05:28:33.156 02/01/2002]	  1.125
[05:28:33.164 02/01/2002]	  1.125
[05:28:33.172 02/01/2002]	  1.125
[05:28:33.180 02/01/2002]	  1.125
[05:28:33.188 02/01/2002]	  1.125
[05:28:33.195 02/01/2002]	  1.125
[05:28:33.203 02/01/2002]	  1.125
[05:28:33.211 02/01/2002]	  1.125
[05:28:33.219 02/01/2002]	  1.125
[05:28:33.227 02/01/2002]	  1.125
[05:28:33.234 02/01/2002]	  1.125
[05:28:33.242 02/01/2002]	  1.125
[05:28:33.250 02/01/2002]	  1.153
[05:28:33.258 02/01/2002]	  1.153
[05:28:33.266 02/01/2002]	  1.153
[05:28:33.273 02/01/2002]	  1.153
[05:28:33.281 02/01/2002]	  1.153
[05:28:33.289 02/01/2002]	  1.153
[05:28:33.297 02/01/2002]	  1.153
[05:28:33.305 02/01/2002]	  1.153
[05:28:33.313 02/01/2002]	  1.153
[05:28:33.320 02/01/2002]	  1.153
[05:28:33.328 02/01/2002]	  1.153
[05:28:33.336 02/01/2002]	  1.153
[05:28:33.344 02/01/2002]	  1.153
[05:28:33.352 02/01/2002]	  1.153
[05:28:33.359 02/01/2002]	  1.153
[05:28:33.367 02/01/2002]	  1.153
[05:28:33.375 02/01/2002]	  1.157
[05:28:33.383 02/01/2002]	  1.157
[05:28:33.391 02/01/2002]	  1.157
[05:28:33.398 02/01/2002]	  1.157
[05:28:33.406 02/01/2002]	  1.157
[05:28:33.414 02/01/2002]	  1.157
[05:28:33.422 02/01/2002]	  1.157
[05:28:33.430 02/01/2002]	  1.157
[05:28:33.438 02/01/2002]	  1.157
[05:28:33.445 02/01/2002]	  1.157
[05:28:33.453 02/01/2002]	  1.157
[05:28:33.461 02/01/2002]	  1.157
[05:28:33.469 02/01/2002]	  1.157
[05:28:33.477 02/01/2002]	  1.157
[05:28:33.484 02/01/2002]	  1.157
[05:28:33.492 02/01/2002]	  1.157
[05:28:33.500 02/01/2002]	  0.930
[05:28:33.508 02/01/2002]	  0.930
[05:28:33.516 02/01/2002]	  0.930
[05:28:33.523 02/01/2002]	  0.930
[05:28:33.531 02/01/2002]	  0.930
[05:28:33.539 02/01/2002]	  0.930
[05:28:33.547 02/01/2002]	  0.930
[05:28:33.555 02/01/2002]	  0.930
[05:28:33.563 02/01/2002]	  0.930
[05:28:33.570 02/01/2002]	  0.930
[05:28:33.578 02/01/2002]	  0.930
[05:28:33.586 02/01/2002]	  0.930
[05:28:33.594 02/01/2002]	  0.930
[05:28:33.602 02/01/2002]	  0.930
[05:28:33.609 02/01/2002]	  0.930
[05:28:33.617 02/01/2002]	  0.930
[05:28:33.625 02/01/2002]	  0.676
[05:28:33.633 02/01/2002]	  0.676
[05:28:33.641 02/01/2002]	  0.676
[05:28:33.648 02/01/2002]	  0.676
[05:28:33.656 02/01/2002]	  0.676
[05:28:33.664 02/01/2002]	  0.676
[05:28:33.672 02/01/2002]	  0.676
[05:28:33.680 02/01/2002]	  0.676
[05:28:33.688 02/01/2002]	  0.676
[05:28:33.695 02/01/2002]	  0.676
[05:28:33.703 02/01/2002]	  0.676
[05:28:33.711 02/01/2002]	  0.676
[05:28:33.719 02/01/2002]	  0.676
[05:28:33.727 02/01/2002]	  0.676
[05:28:33.734 02/01/2002]	  0.676
[05:28:33.742 02/01/2002]	  0.676
[05:28:33.750 02/01/2002]	  0.633
[05:28:33.758 02/01/2002]	  0.633
[05:28:33.766 02/01/2002]	  0.633
[05:28:33.773 02/01/2002]	  0.633
[05:28:33.781 02/01/2002]	  0.633
[05:28:33.789 02/01/2002]	  0.633
[05:28:33.797 02/01/2002]	  0.633
[05:28:33.805 02/01/2002]	  0.633
[05:28:33.813 02/01/2002]	  0.633
